Column1,Column2,Column3
"YOGRE Waterproof Case for Samsung Galaxy S20 Ultra (5G), Shockproof and Dustproof Safety Phone Case for S20 Ultra with Built-Screen and IP68 Underwater Protection, for S20 Ultra Case, 6.9’’",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg14_2?ie=UTF8&adId=A08239453KYZKX7ASCL3L&url=%2FYOGRE-Waterproof-Shockproof-Built-Screen-Underwater%2Fdp%2FB085PZHVPH%2Fref%3Dsr_1_230_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008077%26sr%3D8-230-spons%26psc%3D1&qualifier=1586008077&id=592610018797377&widgetName=sp_btf,"19
.
"
"ZMI PowerPack 10000mAh USB-C Fabric Power Bank USB PD Compatible with iPhone 11/11 Pro/11 Pro Max/X/XS/XS Max/XR, Pixel 1/2/3/3a/XL, Samsung Galaxy. Supports USB 2.0 Adapter Mode, Low Power Charging",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_1?ie=UTF8&adId=A045264360VYNYHWTNIX&url=%2FZMI-PowerPack-Compatible-Supports-Charging%2Fdp%2FB07LG449M6%2Fref%3Dsr_1_225_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-225-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_atf_next,"28
.
"
"Casetego Compatible Galaxy Note 10 Plus Case,Floral Three Layer Heavy Duty Hybrid Sturdy Armor Shockproof Full Body Protective Cover Case for Samsung Galaxy Note 10 Plus,Blue Flower",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_2?ie=UTF8&adId=A03151152TSN71XI10MXM&url=%2FCasetego-Compatible-Shockproof-Protective-Samsung%2Fdp%2FB07VX2XTL3%2Fref%3Dsr_1_226_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-226-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_atf_next,"10
.
"
"Samsung Galaxy S10 Factory Unlocked Phone with 128GB (U.S. Warranty), Flamingo Pink",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg15_1?ie=UTF8&adId=A033546413MQ16YVAQQ9T&url=%2FSamsung-Factory-Unlocked-Warranty-Flamingo%2Fdp%2FB07NPFHWM1%2Fref%3Dsr_1_235_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-235-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_mtf,"599
.
"
"Wall Charger Plug, USB Charger Cube, Ailkin 3.1A 3-Muti Port USB Adapter Power Plug Charging Station Box Black Base Replacement for iPhone 11 Pro Max/X/8, Samsung Phones and More USB Charging Block",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg15_2?ie=UTF8&adId=A066675831BRE2RWCPZJV&url=%2FCharger-Adapter-Charging-Station-Replacement%2Fdp%2FB0823RQ1X9%2Fref%3Dsr_1_236_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-236-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_mtf,"7
.
"
Caseology Film for Samsung Galaxy Note 10 Screen Protector (2019) - 2 Pack,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg15_1?ie=UTF8&adId=A01199692IW25ZSWE759&url=%2FCaseology-Samsung-Galaxy-Screen-Protector%2Fdp%2FB07VXLY1PQ%2Fref%3Dsr_1_245_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-245-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_btf,"8
.
"
ZMI USB PD Backup Battery & Hub for MacBook 2015/MacBook Pro 2016 or later/Pixelbook/Nintendo Switch/Pixel/iPhone 8 Fast Charge External Battery Pack Portable Charger Powerbank for iPhone/iPad/Samsung,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg15_2?ie=UTF8&adId=A0163668MXIGN80TK7OX&url=%2FZMI-Pixelbook-Nintendo-External-Powerbank%2Fdp%2FB072BD98CM%2Fref%3Dsr_1_246_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008080%26sr%3D8-246-spons%26psc%3D1&qualifier=1586008080&id=5210221472361391&widgetName=sp_btf,"68
.
"
"MOSNOVO Case for Galaxy S9, Shockproof TPU Bumper Slim Clear Case with Floral Design for Samsung Galaxy S9 Phone Case Cover - Lavender",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg16_1?ie=UTF8&adId=A0914470TJ885VZRXXGG&url=%2FMOSNOVO-Galaxy-Shockproof-Bumper-Samsung%2Fdp%2FB07ZJHGJ6G%2Fref%3Dsr_1_241_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-241-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_atf_next,"13
.
"
"Samsung Galaxy Note 10 Plus/10+ Case,Pierre Cardin Premium Genuine Cowhide Leather with New Slim Design Hard Back Thin Protection Cover for Galaxy Note 10 Plus/10+(6.8""),Black",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg16_2?ie=UTF8&adId=A090973022T9MPK80JKOO&url=%2FSamsung-Pierre-Cardin-Premium-Protection%2Fdp%2FB07XBQWSY7%2Fref%3Dsr_1_242_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-242-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_atf_next,"21
.
"
"Samsung Galaxy S10 Factory Unlocked Phone with 512GB (U.S. Warranty), Prism Blue",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg16_1?ie=UTF8&adId=A03357641EXWNNF528TUT&url=%2FSamsung-Galaxy-Factory-Unlocked-Warranty%2Fdp%2FB07N4MSLCK%2Fref%3Dsr_1_251_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-251-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_mtf,"699
.
"
"LBell Portable Charger, 25000mAh Power Bank, 5.0A High-Speed 2 USB Ports with LED Flashlight Battery Pack, for iPhone iPad Samsung Huawei Android Tablet PSP Camera",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg16_2?ie=UTF8&adId=A103592536PJN0OBWTXKR&url=%2FPortable-Charger-25000mAh-High-Speed-Flashlight%2Fdp%2FB07VLMXZ5P%2Fref%3Dsr_1_252_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-252-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_mtf,"25
.
"
Samsung Galaxy Note8 64GB Deepsea Blue - AT&T (Renewed),/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg16_1?ie=UTF8&adId=A00797682Y7CMFI7UG7KJ&url=%2FSamsung-Galaxy-Note8-64GB-Deepsea%2Fdp%2FB07DW49279%2Fref%3Dsr_1_261_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-261-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_btf,"329
.
"
"ZMI PowerPack Aura 20000 mAh USB C PD Power Bank 27W Portable Charger Fast Charge iPhone 11, 11 Pro, 11 Pro Max, X, XS, XS Max, XR, 8, 8 Plus, iPad, Pixel 1/2/3/3a/XL, Samsung Galaxy, MacBook",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg16_2?ie=UTF8&adId=A05473412A992SEKQ1OKG&url=%2FZMI-PowerPack-Aura-USB-C-Power%2Fdp%2FB07NJMTBQZ%2Fref%3Dsr_1_262_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008084%26sr%3D8-262-spons%26psc%3D1&qualifier=1586008084&id=1250230064562412&widgetName=sp_btf,"35
.
"
Samsung Galaxy S9 Case | Shockproof | H9 Tempered Glass Back Protective Cover with Soft TPU Bumper | Scratch Resistant | Compatible with Samsung Galaxy S9 - Black,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg17_1?ie=UTF8&adId=A06460213VJC4W80K9FTT&url=%2FShockproof-Tempered-Protective-Resistant-Compatible%2Fdp%2FB07XT5ZLRD%2Fref%3Dsr_1_257_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008088%26sr%3D8-257-spons%26psc%3D1&qualifier=1586008087&id=7502377761603865&widgetName=sp_atf_next,"14
.
"
ASON Galaxy S10 Waterproof Case with Lanyard Dustproof Shockproof Full-Body Sealed Underwater Protective Cover Support Fingerprint ID Compatible for Samsung Galaxy S10 (Black),/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg17_2?ie=UTF8&adId=A08126781DF555UUWPXWF&url=%2FASON-Waterproof-Shockproof-Underwater-Fingerprint%2Fdp%2FB07Z3HMC8M%2Fref%3Dsr_1_258_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008088%26sr%3D8-258-spons%26psc%3D1&qualifier=1586008087&id=7502377761603865&widgetName=sp_atf_next,"15
.
"
"Samsung Galaxy S10 Factory Unlocked Phone with 512GB (U.S. Warranty), Flamingo Pink",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg17_1?ie=UTF8&adId=A03353087G972TTKXMU7&url=%2FSamsung-Factory-Unlocked-Warranty-Flamingo%2Fdp%2FB07NPLWLFC%2Fref%3Dsr_1_267_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008088%26sr%3D8-267-spons%26psc%3D1&qualifier=1586008087&id=7502377761603865&widgetName=sp_mtf,"849
.
"
"[2020 Upgraded] iPhone Wireless Charger, [Angle&Height Adjustable] LISEN Cell Phone Wireless Charging Stand, 10/7.5W Fast Wireless Charger for iPhone 11/Pro/Max/X/XR/XS Max, Galaxy Samsung S10/S9/S8",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg17_2?ie=UTF8&adId=A0643916180P3VF77EPMT&url=%2FUpgraded-Wireless-Adjustable-LISEN-Charging%2Fdp%2FB07ZVHD2M6%2Fref%3Dsr_1_268_sspa%3Fdchild%3D1%26keywords%3Dsamsung%2Bphones%26qid%3D1586008088%26sr%3D8-268-spons%26psc%3D1&qualifier=1586008087&id=7502377761603865&widgetName=sp_mtf,"22
.
"
